

--------------- Analisis de Procesos del Sistema ---------------
Fecha :2026-02-12   Hora: 23:18:29
-----------------------------------------------------------------------


----------------- Tabla de Procesos Basica del Sistema -----------------
-----------------------------------------------------------------
PID       Nombre del Proceso                      Memoria (MB)   
-----------------------------------------------------------------
2912      ChatGPT.exe                                       1288           
10300     devenv.exe                                        1125           
7544      Spotify.exe                                       556            
18564     opera.exe                                         542            
20216     copilot-language-server.exe                       456            
3780      explorer.exe                                      442            
3312      msedgewebview2.exe                                439            
19916     opera.exe                                         433            
19552     opera.exe                                         430            
21128     opera.exe                                         335            
8964      Spotify.exe                                       305            
12436     ChatGPT.exe                                       286            
5216      MsMpEng.exe                                       243            
16472     ChatGPT.exe                                       227            
14940     ServiceHub.IntellicodeModelService.exe            222            
8920      Spotify.exe                                       213            
3132      ChatGPT.exe                                       211            
20180     DevHub.exe                                        208            
10108     msedgewebview2.exe                                194            
10776     opera.exe                                         193            
5944      opera.exe                                         183            
13376     PhoneExperienceHost.exe                           167            
10364     StartMenuExperienceHost.exe                       157            
12472     msedgewebview2.exe                                155            
23416     lghub_agent.exe                                   154            
6092      opera.exe                                         148            
18440     SearchHost.exe                                    147            
22624     dwm.exe                                           143            
188       Secure System                                     135            
3788      Memory Compression                                124            
1404      msedgewebview2.exe                                120            
13152     opera.exe                                         119            
13168     msedgewebview2.exe                                119            
2712      msedgewebview2.exe                                117            
12328     opera.exe                                         108            
7908      MSI.CentralServer.exe                             108            
7952      lghub_system_tray.exe                             107            
9796      msedgewebview2.exe                                102            
8180      WindowsTerminal.exe                               99             
13840     PerfWatson2.exe                                   91             
21320     RadeonSoftware.exe                                84             
12476     Spotify.exe                                       83             
22336     msedgewebview2.exe                                83             
23960     vcpkgsrv.exe                                      80             
5256      LockApp.exe                                       78             
18220     opera.exe                                         74             
3024      MSBuild.exe                                       70             
4256      opera.exe                                         69             
820       opera.exe                                         67             
6484      opera.exe                                         67             
17160     OneDrive.Sync.Service.exe                         65             
22340     CrossDeviceResume.exe                             63             
19868     ChatGPT.exe                                       61             
9052      opera.exe                                         60             
11300     opera.exe                                         60             
20860     ShellHost.exe                                     58             
232       Registry                                          56             
9748      vctip.exe                                         56             
11964     ApplicationFrameHost.exe                          55             
18784     Widgets.exe                                       55             
11924     ms-teams.exe                                      53             
5004      svchost.exe                                       51             
11220     SearchIndexer.exe                                 50             
20420     Spotify.exe                                       50             
5012      svchost.exe                                       49             
18396     sihost.exe                                        48             
20476     AppActions.exe                                    46             
23092     RuntimeBroker.exe                                 46             
8696      svchost.exe                                       44             
9344      svchost.exe                                       40             
17060     LEDKeeper2.exe                                    40             
10936     WmiPrvSE.exe                                      39             
22268     msedgewebview2.exe                                39             
7652      RuntimeBroker.exe                                 39             
4812      OfficeClickToRun.exe                              37             
20636     opera.exe                                         36             
4068      svchost.exe                                       36             
16860     svchost.exe                                       34             
4788      ctfmon.exe                                        34             
13616     ChatGPT.exe                                       34             
1704      svchost.exe                                       30             
20868     CC_Engine_x64.exe                                 29             
17008     ms-teams.exe                                      28             
7936      gamingservices.exe                                28             
15020     Spotify.exe                                       27             
1568      lsass.exe                                         26             
3944      svchost.exe                                       26             
8752      svchost.exe                                       26             
7884      opera.exe                                         26             
12704     msedgewebview2.exe                                25             
15736     svchost.exe                                       25             
10980     WidgetService.exe                                 25             
19672     opera.exe                                         25             
5188      svchost.exe                                       25             
4516      lghub_updater.exe                                 25             
6408      svchost.exe                                       24             
11808     opera.exe                                         23             
7708      svchost.exe                                       23             
4292      svchost.exe                                       22             
21552     atieclxx.exe                                      22             
2136      svchost.exe                                       21             
