

--------------- Analisis Basico de Procesos del Sistema ---------------
Fecha :2026-02-12   Hora: 19:38:25
-----------------------------------------------------------------------


----------------- Tabla de Procesos del Sistema -----------------
-----------------------------------------------------------------
PID       Nombre del Proceso                      Memoria (MB)   
-----------------------------------------------------------------
10300     devenv.exe                              1053           
2912      ChatGPT.exe                             883            
18564     opera.exe                               497            
3780      explorer.exe                            441            
19552     opera.exe                               433            
20216     copilot-language-server.exe             428            
7544      Spotify.exe                             407            
19916     opera.exe                               383            
21128     opera.exe                               338            
3312      msedgewebview2.exe                      324            
8964      Spotify.exe                             292            
12436     ChatGPT.exe                             268            
8920      Spotify.exe                             226            
16472     ChatGPT.exe                             225            
14940     ServiceHub.IntellicodeModelService.exe  221            
5216      MsMpEng.exe                             217            
20180     DevHub.exe                              205            
3132      ChatGPT.exe                             197            
5944      opera.exe                               180            
13376     PhoneExperienceHost.exe                 166            
10364     StartMenuExperienceHost.exe             157            
18440     SearchHost.exe                          147            
22624     dwm.exe                                 138            
188       Secure System                           135            
3788      Memory Compression                      133            
23416     lghub_agent.exe                         125            
13152     opera.exe                               123            
1404      msedgewebview2.exe                      120            
7952      lghub_system_tray.exe                   107            
7908      MSI.CentralServer.exe                   105            
9796      msedgewebview2.exe                      102            
13220     WindowsTerminal.exe                     99             
13840     PerfWatson2.exe                         90             
21320     RadeonSoftware.exe                      84             
22336     msedgewebview2.exe                      83             
12476     Spotify.exe                             83             
12328     opera.exe                               83             
20564     vcpkgsrv.exe                            79             
5256      LockApp.exe                             78             
2892      opera.exe                               76             
18220     opera.exe                               74             
8112      MSBuild.exe                             70             
4256      opera.exe                               69             
820       opera.exe                               67             
1648      opera.exe                               67             
17160     OneDrive.Sync.Service.exe               64             
6484      opera.exe                               63             
22340     CrossDeviceResume.exe                   63             
19868     ChatGPT.exe                             61             
11300     opera.exe                               60             
9052      opera.exe                               59             
20860     ShellHost.exe                           58             
16900     opera.exe                               57             
13168     msedgewebview2.exe                      57             
22024     vctip.exe                               56             
11964     ApplicationFrameHost.exe                55             
20420     Spotify.exe                             50             
232       Registry                                49             
11220     SearchIndexer.exe                       49             
5012      svchost.exe                             49             
18396     sihost.exe                              48             
2712      msedgewebview2.exe                      48             
18784     Widgets.exe                             47             
23092     RuntimeBroker.exe                       46             
20476     AppActions.exe                          46             
8696      svchost.exe                             44             
5004      svchost.exe                             42             
9344      svchost.exe                             40             
10936     WmiPrvSE.exe                            39             
22268     msedgewebview2.exe                      39             
7652      RuntimeBroker.exe                       39             
4812      OfficeClickToRun.exe                    37             
23244     opera.exe                               37             
4068      svchost.exe                             36             
16860     svchost.exe                             34             
13616     ChatGPT.exe                             34             
4788      ctfmon.exe                              33             
17060     LEDKeeper2.exe                          31             
1704      svchost.exe                             30             
20868     CC_Engine_x64.exe                       29             
7936      gamingservices.exe                      28             
15020     Spotify.exe                             27             
1568      lsass.exe                               26             
7884      opera.exe                               26             
8752      svchost.exe                             25             
5188      svchost.exe                             25             
10980     WidgetService.exe                       25             
19672     opera.exe                               25             
4516      lghub_updater.exe                       25             
4292      svchost.exe                             24             
6408      svchost.exe                             24             
15736     svchost.exe                             24             
11808     opera.exe                               23             
7708      svchost.exe                             23             
2136      svchost.exe                             21             
12704     msedgewebview2.exe                      21             
3520      svchost.exe                             21             
21552     atieclxx.exe                            21             
11284     taskhostw.exe                           21             
3360      MpDefenderCoreService.exe               20             
9584      msedgewebview2.exe                      20             
2768      audiodg.exe                             20             
